X (ms);C0:2169[0];C1:2521[0];C2:70[0];C3:80[0]
-499,875000;-0,000106;100000,000000;585,900024;-0,000141
-499,687500;0,000194;100000,000000;585,900024;0,494753
-499,500000;-0,000169;100000,000000;586,549988;0,329891
-499,312500;0,000206;100000,000000;585,849976;-2,342654
-499,125000;-0,000150;100000,000000;587,450012;-2,936587
-498,937500;0,000205;100000,000000;587,450012;2,705316
-498,750000;-0,000111;100000,000000;586,000000;0,428933
-498,562500;0,000236;100000,000000;586,000000;-2,177791
-498,375000;-0,000070;100000,000000;588,400024;-1,748721
-498,187500;0,000193;100000,000000;585,900024;-3,068537
-498,000000;-0,000149;100000,000000;584,250000;-0,626984
-497,812500;0,000198;100000,000000;588,400024;-3,431480
-497,625000;-0,000110;100000,000000;589,200012;-2,342654
-497,437500;0,000202;100000,000000;586,700012;-1,352869
-497,250000;-0,000142;100000,000000;586,000000;0,494752
-497,062500;0,000105;100000,000000;587,550049;-1,979712
-496,875000;-0,000176;100000,000000;586,000000;-3,398262
-496,687500;0,000179;100000,000000;588,400024;-0,857975
-496,500000;-0,000224;100000,000000;585,900024;-2,936587
-496,312500;0,000030;100000,000000;586,000000;-1,715809
-496,125000;-0,000231;100000,000000;584,300049;-0,890886
-495,937500;0,000056;100000,000000;586,050049;-2,012624
-495,750000;-0,000175;100000,000000;586,100037;-2,375565
-495,562500;0,000064;100000,000000;588,550049;-0,758935
-495,375000;-0,000219;100000,000000;586,200012;-0,000141
-495,187500;0,000150;100000,000000;590,050049;-4,586129
-495,000000;-0,000171;100000,000000;586,150024;-2,606555
-494,812500;0,000216;100000,000000;586,150024;-1,814849
-494,625000;-0,000173;100000,000000;586,100037;0,956735
-494,437500;0,000130;100000,000000;581,950012;-1,253829
-494,250000;-0,000220;100000,000000;586,050049;-0,726024
-494,062500;0,000326;100000,000000;589,250000;-4,949071
-493,875000;-0,000227;100000,000000;586,750000;-0,363082
-493,687500;0,000112;100000,000000;581,099976;-0,033052
-493,500000;-0,000248;100000,000000;585,950012;1,550669
-493,312500;0,000260;100000,000000;586,000000;-1,946801
-493,125000;-0,000138;100000,000000;583,550049;0,989645
-492,937500;0,000078;100000,000000;583,500000;-1,748721
-492,750000;-0,000151;100000,000000;586,800049;-3,200489
-492,562500;0,000275;100000,000000;586,850037;-0,791848
-492,375000;-0,000166;100000,000000;581,250000;-1,781631
