X (ms);C0:2169[0];C1:2521[0];C2:70[0];C3:80[0]
-49,875000;0,000024;100000,000000;560,850037;-40,188984
-49,687500;0,000048;100000,000000;560,100037;-39,628105
-49,500000;0,000068;100000,000000;563,349976;-36,394760
-49,312500;0,000054;100000,000000;560,099976;-38,869270
-49,125000;-0,000012;100000,000000;562,450012;-35,668911
-48,937500;0,000006;100000,000000;560,800049;-39,199200
-48,750000;-0,000028;100000,000000;562,550049;-35,899860
-48,562500;0,000043;100000,000000;562,550049;-40,155998
-48,375000;0,000036;100000,000000;565,700012;-38,902252
-48,187500;-0,000047;100000,000000;560,849976;-37,615524
-48,000000;0,000116;100000,000000;562,700012;-41,178783
-47,812500;0,000030;100000,000000;562,600037;-35,503956
-47,625000;0,000133;100000,000000;562,550049;-40,353958
-47,437500;-0,000020;100000,000000;565,049988;-39,166199
-47,250000;0,000065;100000,000000;562,550049;-36,889660
-47,062500;-0,000012;100000,000000;560,850037;-37,615524
-46,875000;0,000017;100000,000000;563,300049;-39,232185
-46,687500;-0,000060;100000,000000;562,550049;-35,965855
-46,500000;-0,000186;100000,000000;563,200012;-36,526737
-46,312500;-0,000035;100000,000000;562,550049;-37,912460
-46,125000;-0,000027;100000,000000;563,250000;-39,925037
-45,937500;0,000004;100000,000000;563,200012;-37,945454
-45,750000;-0,000022;100000,000000;560,050049;-40,485935
-45,562500;0,000034;100000,000000;563,150024;-38,572323
-45,375000;-0,000017;100000,000000;560,750000;-35,932861
-45,187500;-0,000041;100000,000000;562,450012;-37,384571
-45,000000;-0,000020;100000,000000;563,250000;-38,110409
-44,812500;0,000115;100000,000000;560,800049;-38,473347
-44,625000;0,000029;100000,000000;562,500000;-38,902256
-44,437500;-0,000055;100000,000000;563,250000;-38,803280
-44,250000;0,000024;100000,000000;562,500000;-36,031837
-44,062500;0,000133;100000,000000;565,000000;-38,803280
-43,875000;-0,000017;100000,000000;562,500000;-36,790688
-43,687500;0,000035;100000,000000;560,200012;-40,650898
-43,500000;-0,000071;100000,000000;562,500000;-39,925037
-43,312500;-0,000091;100000,000000;564,000000;-35,503952
-43,125000;-0,000035;100000,000000;562,500000;-40,947838
-42,937500;0,000047;100000,000000;560,099976;-35,371979
-42,750000;0,000009;100000,000000;563,250000;-39,727085
-42,562500;0,000043;100000,000000;562,550049;-38,407356
-42,375000;-0,000061;100000,000000;562,599976;-38,539330
-42,187500;0,000056;100000,000000;560,850037;-37,450550
-42,000000;-0,000049;100000,000000;562,500000;-38,605312
-41,812500;0,000007;100000,000000;562,550049;-39,265182
-41,625000;0,000114;100000,000000;560,849976;-36,658707
-41,437500;0,000037;100000,000000;560,900024;-40,518925
-41,250000;0,000007;100000,000000;560,150024;-39,562115
-41,062500;0,000037;100000,000000;564,100037;-37,153618
-40,875000;-0,000181;100000,000000;562,599976;-34,778091
-40,687500;0,000015;100000,000000;560,900024;-40,155998
-40,500000;-0,000014;100000,000000;565,750000;-39,199188
-40,312500;-0,000087;100000,000000;563,300049;-36,889675
-40,125000;-0,000047;100000,000000;562,700012;-38,110409
-39,937500;-0,000061;100000,000000;563,250000;-39,166199
-39,750000;-0,000038;100000,000000;562,600037;-38,968235
-39,562500;-0,000080;100000,000000;563,250000;-37,285583
-39,375000;-0,000041;100000,000000;560,800049;-37,450550
-39,187500;0,000018;100000,000000;562,550049;-39,298176
-39,000000;0,000021;100000,000000;562,450012;-38,209389
-38,812500;0,000019;100000,000000;563,200012;-41,046825
-38,625000;-0,000009;100000,000000;562,450012;-36,592712
-38,437500;0,000065;100000,000000;562,500000;-41,442745
-38,250000;-0,000073;100000,000000;562,500000;-36,031837
-38,062500;0,000043;100000,000000;562,500000;-37,945454
-37,875000;0,000037;100000,000000;562,600037;-37,747486
-37,687500;-0,000019;100000,000000;565,650024;-38,044430
-37,500000;-0,000049;100000,000000;563,250000;-40,683884
-37,312500;0,000097;100000,000000;562,549988;-39,166203
-37,125000;-0,000183;100000,000000;565,050049;-38,011433
-36,937500;0,000015;100000,000000;560,150024;-38,572327
-36,750000;-0,000087;100000,000000;560,099976;-37,879459
-36,562500;0,000047;100000,000000;560,849976;-37,846474
-36,375000;0,000024;100000,000000;562,599976;-41,178783
-36,187500;-0,000007;100000,000000;562,550049;-38,044430
-36,000000;-0,000031;100000,000000;563,200012;-38,407360
-35,812500;0,000108;100000,000000;562,599976;-36,790684
-35,625000;-0,000031;100000,000000;562,599976;-38,374359
-35,437500;-0,000052;100000,000000;560,900024;-39,430149
-35,250000;-0,000097;100000,000000;562,600037;-35,800884
-35,062500;0,000015;100000,000000;563,350037;-39,529125
-34,875000;-0,000067;100000,000000;563,500000;-36,757687
-34,687500;0,000018;100000,000000;562,750000;-39,232193
-34,500000;-0,000032;100000,000000;560,250000;-36,262791
-34,312500;-0,000052;100000,000000;562,700012;-38,770294
-34,125000;-0,000016;100000,000000;562,700012;-40,584908
-33,937500;0,000069;100000,000000;562,650024;-35,998856
-33,750000;-0,000091;100000,000000;560,950012;-43,620277
-33,562500;-0,000032;100000,000000;560,900024;-36,196808
-33,375000;-0,000055;100000,000000;562,550049;-37,549530
-33,187500;-0,000025;100000,000000;563,349976;-38,539333
-33,000000;-0,000047;100000,000000;560,099976;-38,374359
-32,812500;-0,000045;100000,000000;564,000000;-39,727093
-32,625000;0,000074;100000,000000;563,250000;-34,184212
-32,437500;0,000039;100000,000000;562,400024;-39,793072
-32,250000;-0,000013;100000,000000;560,800049;-38,506336
-32,062500;-0,000037;100000,000000;563,300049;-36,592728
-31,875000;0,000061;100000,000000;562,550049;-37,912457
-31,687500;-0,000002;100000,000000;563,950012;-35,899872
-31,500000;0,000045;100000,000000;562,550049;-41,904636
-31,312500;-0,000021;100000,000000;562,550049;-37,417557
-31,125000;0,000028;100000,000000;563,299988;-39,001236
-30,937500;0,000011;100000,000000;560,850037;-35,240005
-30,750000;-0,000047;100000,000000;562,500000;-39,991032
-30,562500;-0,000022;100000,000000;562,650024;-36,724701
-30,375000;0,000003;100000,000000;562,550049;-41,244766
-30,187500;-0,000024;100000,000000;562,599976;-40,320969
-30,000000;0,000054;100000,000000;560,900024;-34,151218
-29,812500;0,000079;100000,000000;562,500000;-41,310772
-29,625000;0,000022;100000,000000;562,650024;-36,295784
-29,437500;0,000071;100000,000000;560,850037;-37,747498
-29,250000;-0,000041;100000,000000;560,150024;-37,714493
-29,062500;-0,000011;100000,000000;562,650024;-35,371979
-28,875000;0,000047;100000,000000;563,300049;-39,727085
-28,687500;-0,000064;100000,000000;560,900024;-35,371979
-28,500000;0,000119;100000,000000;562,600037;-40,452934
-28,312500;0,000033;100000,000000;563,400024;-35,767895
-28,125000;-0,000020;100000,000000;562,600037;-39,892052
-27,937500;-0,000120;100000,000000;562,650024;-37,780483
-27,750000;0,000020;100000,000000;558,550049;-37,978439
-27,562500;0,000096;100000,000000;562,650024;-38,869270
-27,375000;0,000030;100000,000000;560,299988;-37,153610
-27,187500;0,000048;100000,000000;561,000000;-37,615524
-27,000000;0,000013;100000,000000;557,700012;-36,889660
-26,812500;0,000027;100000,000000;560,250000;-39,463146
-26,625000;-0,000048;100000,000000;565,050049;-38,605309
-26,437500;-0,000018;100000,000000;562,550049;-39,661102
-26,250000;0,000013;100000,000000;562,550049;-37,318581
-26,062500;0,000038;100000,000000;558,400024;-39,562122
-25,875000;-0,000000;100000,000000;565,000000;-38,308369
-25,687500;0,000066;100000,000000;562,550049;-35,174026
-25,500000;-0,000025;100000,000000;562,550049;-40,749878
-25,312500;0,000045;100000,000000;562,550049;-36,724701
-25,125000;0,000064;100000,000000;562,599976;-40,584908
-24,937500;0,000108;100000,000000;563,349976;-36,295784
-24,750000;0,000041;100000,000000;562,550049;-40,024017
-24,562500;0,000007;100000,000000;560,200012;-39,199200
-24,375000;0,000103;100000,000000;563,349976;-35,767887
-24,187500;0,000017;100000,000000;563,250000;-36,988647
-24,000000;0,000069;100000,000000;563,349976;-39,628105
-23,812500;-0,000063;100000,000000;563,250000;-37,945454
-23,625000;-0,000007;100000,000000;565,000000;-38,143406
-23,437500;-0,000011;100000,000000;562,599976;-33,722317
-23,250000;-0,000014;100000,000000;562,550049;-38,737293
-23,062500;0,000009;100000,000000;562,600037;-38,077427
-22,875000;0,000034;100000,000000;565,750000;-41,904636
-22,687500;0,000028;100000,000000;562,599976;-34,877075
-22,500000;0,000052;100000,000000;560,200012;-41,970631
-22,312500;0,000072;100000,000000;562,550049;-37,549530
-22,125000;-0,000062;100000,000000;562,550049;-38,011433
-21,937500;-0,000009;100000,000000;562,600037;-39,529125
-21,750000;0,000011;100000,000000;565,750000;-35,404964
-21,562500;0,000058;100000,000000;563,400024;-35,998848
-21,375000;-0,000059;100000,000000;562,650024;-39,859058
-21,187500;0,000017;100000,000000;562,700012;-37,582523
-21,000000;0,000014;100000,000000;565,100037;-33,755310
-20,812500;-0,000037;100000,000000;562,700012;-40,057026
-20,625000;-0,000010;100000,000000;563,400024;-35,272991
-20,437500;0,000089;100000,000000;558,500000;-39,232201
-20,250000;0,000100;100000,000000;565,099976;-39,958031
-20,062500;0,000081;100000,000000;555,400024;-38,770283
-19,875000;0,000042;100000,000000;560,900024;-37,285583
-19,687500;-0,000015;100000,000000;557,750000;-40,650902
-19,500000;0,000014;100000,000000;563,300049;-40,123005
-19,312500;-0,000068;100000,000000;563,200012;-37,351578
-19,125000;0,000009;100000,000000;562,550049;-36,031837
-18,937500;0,000114;100000,000000;563,250000;-39,430149
-18,750000;0,000034;100000,000000;563,250000;-37,747486
-18,562500;-0,000021;100000,000000;565,000000;-40,782871
-18,375000;-0,000001;100000,000000;562,650024;-40,815857
-18,187500;0,000076;100000,000000;562,650024;-40,683899
-18,000000;-0,000006;100000,000000;565,750000;-36,361763
-17,812500;0,000020;100000,000000;565,050049;-37,252598
-17,625000;-0,000009;100000,000000;558,500000;-38,968239
-17,437500;-0,000029;100000,000000;565,049988;-36,625725
-17,250000;-0,000005;100000,000000;565,050049;-40,188984
-17,062500;0,000069;100000,000000;565,800049;-38,275383
-16,875000;0,000095;100000,000000;562,599976;-39,595108
-16,687500;0,000058;100000,000000;562,550049;-37,945457
-16,500000;0,000048;100000,000000;562,550049;-37,219601
-16,312500;0,000175;100000,000000;562,599976;-39,496128
-16,125000;0,000018;100000,000000;563,349976;-39,529125
-15,937500;0,000065;100000,000000;560,850037;-36,592728
-15,750000;0,000007;100000,000000;562,599976;-37,120617
-15,562500;0,000032;100000,000000;565,700012;-36,922668
-15,375000;0,000082;100000,000000;560,900024;-41,178783
-15,187500;0,000079;100000,000000;560,200012;-34,943058
